epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6661,2.14195,7.12403,1.66443,0,0,0,0,1.76472,6.97862,1.65357,0.00331723,0.00331723,0.00331723
2,176.745,1.33415,6.76767,1.18352,0.00285,0.00545,0.00176,0.0013,1.31481,6.60142,1.25578,0.00658472,0.00658472,0.00658472
3,271.17,1.43066,5.67342,1.18926,0.00287,0.06207,0.00312,0.00095,2.4755,5.76576,1.89896,0.00978622,0.00978622,0.00978622
4,367.108,1.42418,3.7124,1.24609,0.00199,0.21809,0.0077,0.0013,3.71529,4.40023,3.40031,0.009703,0.009703,0.009703
5,468.506,1.2519,3.32277,1.1986,0.08607,0.04947,0.00205,0.00034,4.28311,5.37495,2.73802,0.009604,0.009604,0.009604
6,574.062,1.16885,3.23282,1.16892,0.6988,0.01617,0.00363,0.00095,4.09259,7.83144,3.13142,0.009505,0.009505,0.009505
7,656.937,1.13485,3.18278,1.15448,0,0.00022,0,0,5.31627,5.77253,4.18545,0.009406,0.009406,0.009406
8,750.837,1.1063,3.12925,1.14418,0.67514,0.03437,0.0164,0.00757,3.20257,5.64782,2.27607,0.009307,0.009307,0.009307
9,858.41,1.08196,3.07648,1.13413,0.60179,0.00307,0.00398,0.00107,4.88123,8.31869,3.76279,0.009208,0.009208,0.009208
10,968.052,1.05841,3.03036,1.1254,0.61668,0.07205,0.06245,0.02264,2.87565,4.66606,2.22461,0.009109,0.009109,0.009109
11,1084.78,1.04841,2.99302,1.1215,0.5793,0.0566,0.0205,0.00675,4.03589,7.83182,2.95747,0.00901,0.00901,0.00901
12,1185.81,1.02384,2.94961,1.11088,0.71432,0.07357,0.0534,0.02211,2.60068,5.01444,2.00612,0.008911,0.008911,0.008911
13,1289.46,1.02145,2.90277,1.11272,0.6833,0.03934,0.02825,0.00793,3.96818,6.82962,3.18118,0.008812,0.008812,0.008812
14,1391.79,1.00736,2.87231,1.10773,0.54046,0.01581,0.01048,0.00252,4.59757,9.40749,3.44972,0.008713,0.008713,0.008713
15,1478.74,0.99733,2.83823,1.10219,0.54491,0.20216,0.18477,0.12158,1.50025,3.6163,1.48945,0.008614,0.008614,0.008614
16,1567.76,0.99351,2.80663,1.10272,0.5658,0.15897,0.10785,0.04874,2.46593,5.95205,1.99515,0.008515,0.008515,0.008515
17,1653.78,0.96833,2.76463,1.09025,0.36899,0.13643,0.09492,0.03272,3.25235,4.41641,2.35307,0.008416,0.008416,0.008416
18,1737.66,0.97442,2.7473,1.09192,0.30932,0.21968,0.1595,0.08071,2.27744,3.42097,1.95285,0.008317,0.008317,0.008317
